A,B,D,P,E
101|6419062|6421629|6422882|6425513|6425551|6425558|6425569,8388823,,,
101|6419062|6421629|6422882|6425513|6425551|6425559|6425570,8388834,,,
101|6419062|6421629|6422882|6425513|6425552|6425565|6425571,8388856,,,
101|6419062|6421629|6422882|6425513|6425552|6425566|6425572,9311437,,,
101|6419062|6421629|6422882|6425513|6549368|6549677|7805298,9318522,,,
101|6419062|6421629|6422882|6425513|6549368|6549678|7805299,9318529,,,
101|6419062|6421629|6422882|6425513|6549369|6549679|6549689|6549691,9166704,,,
101|6419062|6421629|6422882|6425513|6549369|6549679|6549689|6549692,9166714,,,
101|6419062|6421629|6422882|6425513|6549369|6549683|8127587,9788717,,,
101|6419062|6421629|6422882|6425513|6549369|6549684|8127588,9788724,,,
101|6419062|6421629|6422882|6425514|6425573|6425575|6460201|6480564,8584001,,,
101|6419062|6421629|6422882|6425514|6425573|6425580|6460202|6480561,8584011,,,
101|6419062|6421629|6422882|6425514|6425573|6425583|6460203|6480641,8584021,,,
101|6419062|6421629|6422882|6425514|6425574|6425587|6460204|6480646,8584031,,,
101|6419062|6421629|6422882|6425514|6425574|6425591|6460205|6480651,8584041,,,
101|6419062|6421629|6422882|6425514|6549370|6549712|6549726|6549728,9166907,,,
101|6419062|6421629|6422882|6425514|6549370|6549714|6549734|6549736,9166929,,,
101|6419062|6421629|6422882|6425514|6549370|6549716|6549742|6549745,9167051,,,
101|6419062|6421629|6422882|6425514|6549370|8045585|8047172|8047173,9715520,,,
101|6419062|6421629|6422882|6425514|6549371|6549768|6549780|6549781,9167350,,,
101|6419062|6421629|6422882|6422884|100079454|100079455|100079456|100079457,9846799,,,
101|6419062|6421629|6422882|6422884|100079454|100079455|100079456|100079458,9846800,,,
101|6419062|6421629|6422882|6422884|6549372|6549788|6549790|6549792,9327686,,,
