selected model:  Density
Training time: 0.0 minutes.
selected model:  DTW
paramIndex: 8622144
cur(0), end(3670), percent[0.0%], dist(1.4)
cur(93), end(3670), percent[2.53%], dist(1.3)
cur(94), end(3670), percent[2.56%], dist(1.29)
cur(95), end(3670), percent[2.59%], dist(1.29)
cur(96), end(3670), percent[2.62%], dist(1.3)
cur(97), end(3670), percent[2.64%], dist(1.3)
cur(98), end(3670), percent[2.67%], dist(1.3)
cur(99), end(3670), percent[2.7%], dist(1.3)
cur(100), end(3670), percent[2.72%], dist(1.3)
cur(101), end(3670), percent[2.75%], dist(1.3)
cur(102), end(3670), percent[2.78%], dist(1.3)
cur(103), end(3670), percent[2.81%], dist(1.3)
cur(104), end(3670), percent[2.83%], dist(1.29)
cur(105), end(3670), percent[2.86%], dist(1.3)
cur(106), end(3670), percent[2.89%], dist(1.3)
cur(107), end(3670), percent[2.92%], dist(1.3)
cur(108), end(3670), percent[2.94%], dist(1.3)
cur(109), end(3670), percent[2.97%], dist(1.29)
cur(110), end(3670), percent[3.0%], dist(1.29)
cur(111), end(3670), percent[3.02%], dist(1.29)
cur(112), end(3670), percent[3.05%], dist(1.29)
cur(113), end(3670), percent[3.08%], dist(1.29)
cur(114), end(3670), percent[3.11%], dist(1.29)
cur(115), end(3670), percent[3.13%], dist(1.29)
cur(116), end(3670), percent[3.16%], dist(1.29)
cur(117), end(3670), percent[3.19%], dist(1.29)
cur(118), end(3670), percent[3.22%], dist(1.29)
cur(119), end(3670), percent[3.24%], dist(1.29)
cur(120), end(3670), percent[3.27%], dist(1.29)
cur(121), end(3670), percent[3.3%], dist(1.29)
cur(122), end(3670), percent[3.32%], dist(1.29)
cur(123), end(3670), percent[3.35%], dist(1.29)
cur(124), end(3670), percent[3.38%], dist(1.29)
cur(125), end(3670), percent[3.41%], dist(1.29)
cur(126), end(3670), percent[3.43%], dist(1.29)
cur(127), end(3670), percent[3.46%], dist(1.29)
cur(128), end(3670), percent[3.49%], dist(1.29)
cur(129), end(3670), percent[3.51%], dist(1.29)
cur(130), end(3670), percent[3.54%], dist(1.29)
cur(131), end(3670), percent[3.57%], dist(1.29)
cur(132), end(3670), percent[3.6%], dist(1.29)
cur(133), end(3670), percent[3.62%], dist(1.29)
cur(134), end(3670), percent[3.65%], dist(1.29)
cur(135), end(3670), percent[3.68%], dist(1.29)
cur(136), end(3670), percent[3.71%], dist(1.29)
cur(137), end(3670), percent[3.73%], dist(1.29)
cur(138), end(3670), percent[3.76%], dist(1.29)
cur(139), end(3670), percent[3.79%], dist(1.29)
cur(140), end(3670), percent[3.81%], dist(1.29)
cur(141), end(3670), percent[3.84%], dist(1.29)
cur(142), end(3670), percent[3.87%], dist(1.29)
cur(143), end(3670), percent[3.9%], dist(1.29)
cur(144), end(3670), percent[3.92%], dist(1.28)
cur(145), end(3670), percent[3.95%], dist(1.28)
cur(146), end(3670), percent[3.98%], dist(1.28)
cur(147), end(3670), percent[4.01%], dist(1.29)
cur(148), end(3670), percent[4.03%], dist(1.29)
cur(149), end(3670), percent[4.06%], dist(1.29)
cur(150), end(3670), percent[4.09%], dist(1.29)
cur(151), end(3670), percent[4.11%], dist(1.29)
cur(152), end(3670), percent[4.14%], dist(1.29)
cur(153), end(3670), percent[4.17%], dist(1.29)
cur(154), end(3670), percent[4.2%], dist(1.29)
cur(155), end(3670), percent[4.22%], dist(1.29)
cur(156), end(3670), percent[4.25%], dist(1.29)
cur(157), end(3670), percent[4.28%], dist(1.29)
cur(158), end(3670), percent[4.31%], dist(1.29)
cur(159), end(3670), percent[4.33%], dist(1.29)
cur(160), end(3670), percent[4.36%], dist(1.29)
cur(161), end(3670), percent[4.39%], dist(1.29)
cur(162), end(3670), percent[4.41%], dist(1.29)
cur(163), end(3670), percent[4.44%], dist(1.29)
cur(164), end(3670), percent[4.47%], dist(1.29)
cur(165), end(3670), percent[4.5%], dist(1.28)
cur(166), end(3670), percent[4.52%], dist(1.28)
cur(167), end(3670), percent[4.55%], dist(1.29)
cur(168), end(3670), percent[4.58%], dist(1.29)
cur(169), end(3670), percent[4.6%], dist(1.29)
cur(170), end(3670), percent[4.63%], dist(1.28)
cur(171), end(3670), percent[4.66%], dist(1.29)
cur(172), end(3670), percent[4.69%], dist(1.29)
cur(173), end(3670), percent[4.71%], dist(1.29)
cur(174), end(3670), percent[4.74%], dist(1.28)
cur(175), end(3670), percent[4.77%], dist(1.28)
cur(176), end(3670), percent[4.8%], dist(1.28)
cur(177), end(3670), percent[4.82%], dist(1.28)
cur(178), end(3670), percent[4.85%], dist(1.28)
cur(179), end(3670), percent[4.88%], dist(1.28)
cur(180), end(3670), percent[4.9%], dist(1.28)
cur(181), end(3670), percent[4.93%], dist(1.28)
cur(182), end(3670), percent[4.96%], dist(1.28)
cur(183), end(3670), percent[4.99%], dist(1.28)
cur(184), end(3670), percent[5.01%], dist(1.28)
cur(185), end(3670), percent[5.04%], dist(1.28)
cur(186), end(3670), percent[5.07%], dist(1.28)
cur(187), end(3670), percent[5.1%], dist(1.28)
cur(188), end(3670), percent[5.12%], dist(1.28)
cur(189), end(3670), percent[5.15%], dist(1.28)
cur(190), end(3670), percent[5.18%], dist(1.28)
cur(191), end(3670), percent[5.2%], dist(1.28)
cur(192), end(3670), percent[5.23%], dist(1.28)
cur(193), end(3670), percent[5.26%], dist(1.28)
cur(194), end(3670), percent[5.29%], dist(1.28)
cur(195), end(3670), percent[5.31%], dist(1.28)
cur(196), end(3670), percent[5.34%], dist(1.28)
cur(197), end(3670), percent[5.37%], dist(1.28)
cur(198), end(3670), percent[5.4%], dist(1.28)
cur(199), end(3670), percent[5.42%], dist(1.28)
cur(200), end(3670), percent[5.45%], dist(1.28)
cur(201), end(3670), percent[5.48%], dist(1.28)
cur(202), end(3670), percent[5.5%], dist(1.28)
cur(203), end(3670), percent[5.53%], dist(1.29)
cur(204), end(3670), percent[5.56%], dist(1.29)
cur(205), end(3670), percent[5.59%], dist(1.29)
cur(206), end(3670), percent[5.61%], dist(1.29)
cur(207), end(3670), percent[5.64%], dist(1.28)
cur(208), end(3670), percent[5.67%], dist(1.28)
cur(209), end(3670), percent[5.69%], dist(1.28)
cur(210), end(3670), percent[5.72%], dist(1.29)
cur(211), end(3670), percent[5.75%], dist(1.29)
cur(212), end(3670), percent[5.78%], dist(1.29)
cur(213), end(3670), percent[5.8%], dist(1.29)
cur(214), end(3670), percent[5.83%], dist(1.29)
cur(215), end(3670), percent[5.86%], dist(1.29)
cur(216), end(3670), percent[5.89%], dist(1.29)
cur(217), end(3670), percent[5.91%], dist(1.29)
cur(218), end(3670), percent[5.94%], dist(1.28)
cur(219), end(3670), percent[5.97%], dist(1.28)
cur(220), end(3670), percent[5.99%], dist(1.29)
cur(221), end(3670), percent[6.02%], dist(1.29)
cur(222), end(3670), percent[6.05%], dist(1.29)
cur(223), end(3670), percent[6.08%], dist(1.29)
cur(224), end(3670), percent[6.1%], dist(1.29)
cur(225), end(3670), percent[6.13%], dist(1.29)
cur(226), end(3670), percent[6.16%], dist(1.29)
cur(227), end(3670), percent[6.19%], dist(1.29)
cur(228), end(3670), percent[6.21%], dist(1.29)
cur(229), end(3670), percent[6.24%], dist(1.29)
cur(230), end(3670), percent[6.27%], dist(1.29)
cur(231), end(3670), percent[6.29%], dist(1.28)
cur(232), end(3670), percent[6.32%], dist(1.29)
cur(233), end(3670), percent[6.35%], dist(1.29)
cur(234), end(3670), percent[6.38%], dist(1.29)
cur(235), end(3670), percent[6.4%], dist(1.29)
cur(236), end(3670), percent[6.43%], dist(1.29)
cur(237), end(3670), percent[6.46%], dist(1.29)
cur(238), end(3670), percent[6.49%], dist(1.29)
cur(239), end(3670), percent[6.51%], dist(1.29)
cur(240), end(3670), percent[6.54%], dist(1.29)
cur(241), end(3670), percent[6.57%], dist(1.29)
cur(242), end(3670), percent[6.59%], dist(1.29)
cur(243), end(3670), percent[6.62%], dist(1.28)
cur(244), end(3670), percent[6.65%], dist(1.29)
cur(245), end(3670), percent[6.68%], dist(1.29)
cur(246), end(3670), percent[6.7%], dist(1.29)
cur(247), end(3670), percent[6.73%], dist(1.29)
cur(248), end(3670), percent[6.76%], dist(1.29)
cur(249), end(3670), percent[6.78%], dist(1.29)
cur(250), end(3670), percent[6.81%], dist(1.29)
cur(251), end(3670), percent[6.84%], dist(1.29)
cur(252), end(3670), percent[6.87%], dist(1.29)
cur(253), end(3670), percent[6.89%], dist(1.29)
cur(254), end(3670), percent[6.92%], dist(1.29)
cur(255), end(3670), percent[6.95%], dist(1.29)
cur(256), end(3670), percent[6.98%], dist(1.28)
cur(257), end(3670), percent[7.0%], dist(1.28)
cur(258), end(3670), percent[7.03%], dist(1.29)
cur(259), end(3670), percent[7.06%], dist(1.29)
cur(260), end(3670), percent[7.08%], dist(1.29)
cur(261), end(3670), percent[7.11%], dist(1.29)
cur(262), end(3670), percent[7.14%], dist(1.29)
cur(263), end(3670), percent[7.17%], dist(1.29)
cur(264), end(3670), percent[7.19%], dist(1.29)
cur(265), end(3670), percent[7.22%], dist(1.29)
cur(266), end(3670), percent[7.25%], dist(1.29)
cur(267), end(3670), percent[7.28%], dist(1.28)
cur(268), end(3670), percent[7.3%], dist(1.28)
cur(269), end(3670), percent[7.33%], dist(1.28)
cur(270), end(3670), percent[7.36%], dist(1.28)
cur(271), end(3670), percent[7.38%], dist(1.29)
cur(272), end(3670), percent[7.41%], dist(1.29)
cur(273), end(3670), percent[7.44%], dist(1.29)
cur(274), end(3670), percent[7.47%], dist(1.28)
cur(275), end(3670), percent[7.49%], dist(1.28)
cur(276), end(3670), percent[7.52%], dist(1.28)
cur(277), end(3670), percent[7.55%], dist(1.29)
cur(278), end(3670), percent[7.57%], dist(1.29)
cur(279), end(3670), percent[7.6%], dist(1.29)
cur(280), end(3670), percent[7.63%], dist(1.29)
cur(282), end(3670), percent[7.68%], dist(1.29)
cur(283), end(3670), percent[7.71%], dist(1.29)
cur(281), end(3670), percent[7.66%], dist(1.29)
cur(284), end(3670), percent[7.74%], dist(1.29)
cur(285), end(3670), percent[7.77%], dist(1.29)
cur(286), end(3670), percent[7.79%], dist(1.29)
cur(287), end(3670), percent[7.82%], dist(1.29)
cur(288), end(3670), percent[7.85%], dist(1.29)
cur(289), end(3670), percent[7.87%], dist(1.29)
cur(290), end(3670), percent[7.9%], dist(1.29)
cur(291), end(3670), percent[7.93%], dist(1.29)
cur(292), end(3670), percent[7.96%], dist(1.29)
cur(293), end(3670), percent[7.98%], dist(1.29)
cur(294), end(3670), percent[8.01%], dist(1.29)
cur(295), end(3670), percent[8.04%], dist(1.29)
cur(296), end(3670), percent[8.07%], dist(1.29)
cur(297), end(3670), percent[8.09%], dist(1.29)
cur(298), end(3670), percent[8.12%], dist(1.29)
cur(299), end(3670), percent[8.15%], dist(1.29)
cur(300), end(3670), percent[8.17%], dist(1.29)
cur(301), end(3670), percent[8.2%], dist(1.29)
cur(302), end(3670), percent[8.23%], dist(1.29)
cur(303), end(3670), percent[8.26%], dist(1.29)
cur(304), end(3670), percent[8.28%], dist(1.29)
cur(305), end(3670), percent[8.31%], dist(1.29)
cur(306), end(3670), percent[8.34%], dist(1.29)
cur(307), end(3670), percent[8.37%], dist(1.29)
cur(308), end(3670), percent[8.39%], dist(1.29)
cur(309), end(3670), percent[8.42%], dist(1.29)
cur(310), end(3670), percent[8.45%], dist(1.29)
cur(311), end(3670), percent[8.47%], dist(1.29)
cur(312), end(3670), percent[8.5%], dist(1.29)
cur(313), end(3670), percent[8.53%], dist(1.29)
cur(314), end(3670), percent[8.56%], dist(1.29)
cur(315), end(3670), percent[8.58%], dist(1.29)
cur(316), end(3670), percent[8.61%], dist(1.29)
cur(317), end(3670), percent[8.64%], dist(1.29)
cur(318), end(3670), percent[8.66%], dist(1.29)
cur(319), end(3670), percent[8.69%], dist(1.29)
cur(320), end(3670), percent[8.72%], dist(1.29)
cur(321), end(3670), percent[8.75%], dist(1.29)
cur(322), end(3670), percent[8.77%], dist(1.29)
cur(323), end(3670), percent[8.8%], dist(1.29)
cur(324), end(3670), percent[8.83%], dist(1.29)
cur(325), end(3670), percent[8.86%], dist(1.29)
cur(326), end(3670), percent[8.88%], dist(1.29)
cur(327), end(3670), percent[8.91%], dist(1.29)
cur(328), end(3670), percent[8.94%], dist(1.29)
cur(329), end(3670), percent[8.96%], dist(1.29)
cur(330), end(3670), percent[8.99%], dist(1.29)
cur(331), end(3670), percent[9.02%], dist(1.29)
cur(332), end(3670), percent[9.05%], dist(1.29)
cur(333), end(3670), percent[9.07%], dist(1.29)
cur(334), end(3670), percent[9.1%], dist(1.29)
cur(335), end(3670), percent[9.13%], dist(1.29)
cur(336), end(3670), percent[9.16%], dist(1.29)
cur(337), end(3670), percent[9.18%], dist(1.29)
cur(338), end(3670), percent[9.21%], dist(1.29)
cur(339), end(3670), percent[9.24%], dist(1.29)
cur(340), end(3670), percent[9.26%], dist(1.29)
cur(341), end(3670), percent[9.29%], dist(1.29)
cur(342), end(3670), percent[9.32%], dist(1.29)
cur(343), end(3670), percent[9.35%], dist(1.29)
cur(344), end(3670), percent[9.37%], dist(1.29)
cur(345), end(3670), percent[9.4%], dist(1.29)
cur(346), end(3670), percent[9.43%], dist(1.29)
cur(347), end(3670), percent[9.46%], dist(1.29)
cur(348), end(3670), percent[9.48%], dist(1.29)
cur(349), end(3670), percent[9.51%], dist(1.29)
cur(350), end(3670), percent[9.54%], dist(1.29)
cur(351), end(3670), percent[9.56%], dist(1.29)
cur(352), end(3670), percent[9.59%], dist(1.29)
cur(353), end(3670), percent[9.62%], dist(1.29)
cur(354), end(3670), percent[9.65%], dist(1.29)
cur(355), end(3670), percent[9.67%], dist(1.29)
cur(356), end(3670), percent[9.7%], dist(1.29)
cur(357), end(3670), percent[9.73%], dist(1.29)
cur(358), end(3670), percent[9.75%], dist(1.29)
cur(359), end(3670), percent[9.78%], dist(1.3)
cur(360), end(3670), percent[9.81%], dist(1.3)
cur(361), end(3670), percent[9.84%], dist(1.3)
cur(362), end(3670), percent[9.86%], dist(1.3)
cur(363), end(3670), percent[9.89%], dist(1.3)
cur(364), end(3670), percent[9.92%], dist(1.29)
cur(365), end(3670), percent[9.95%], dist(1.29)
cur(366), end(3670), percent[9.97%], dist(1.29)
cur(367), end(3670), percent[10.0%], dist(1.29)
cur(368), end(3670), percent[10.03%], dist(1.29)
cur(369), end(3670), percent[10.05%], dist(1.29)
cur(370), end(3670), percent[10.08%], dist(1.29)
cur(371), end(3670), percent[10.11%], dist(1.29)
cur(372), end(3670), percent[10.14%], dist(1.29)
cur(373), end(3670), percent[10.16%], dist(1.29)
cur(374), end(3670), percent[10.19%], dist(1.29)
cur(375), end(3670), percent[10.22%], dist(1.29)
cur(376), end(3670), percent[10.25%], dist(1.29)
cur(377), end(3670), percent[10.27%], dist(1.29)
cur(378), end(3670), percent[10.3%], dist(1.3)
cur(379), end(3670), percent[10.33%], dist(1.3)
cur(380), end(3670), percent[10.35%], dist(1.3)
cur(381), end(3670), percent[10.38%], dist(1.3)
cur(382), end(3670), percent[10.41%], dist(1.3)
cur(383), end(3670), percent[10.44%], dist(1.3)
cur(384), end(3670), percent[10.46%], dist(1.3)
cur(385), end(3670), percent[10.49%], dist(1.3)
cur(386), end(3670), percent[10.52%], dist(1.3)
cur(387), end(3670), percent[10.54%], dist(1.3)
cur(388), end(3670), percent[10.57%], dist(1.3)
cur(389), end(3670), percent[10.6%], dist(1.3)
cur(390), end(3670), percent[10.63%], dist(1.3)
cur(391), end(3670), percent[10.65%], dist(1.3)
cur(392), end(3670), percent[10.68%], dist(1.3)
cur(393), end(3670), percent[10.71%], dist(1.3)
cur(394), end(3670), percent[10.74%], dist(1.3)
cur(395), end(3670), percent[10.76%], dist(1.3)
cur(396), end(3670), percent[10.79%], dist(1.3)
cur(397), end(3670), percent[10.82%], dist(1.3)
cur(398), end(3670), percent[10.84%], dist(1.3)
cur(399), end(3670), percent[10.87%], dist(1.3)
cur(400), end(3670), percent[10.9%], dist(1.3)
cur(401), end(3670), percent[10.93%], dist(1.3)
cur(402), end(3670), percent[10.95%], dist(1.3)
cur(403), end(3670), percent[10.98%], dist(1.3)
cur(404), end(3670), percent[11.01%], dist(1.3)
cur(405), end(3670), percent[11.04%], dist(1.3)
cur(406), end(3670), percent[11.06%], dist(1.3)
cur(407), end(3670), percent[11.09%], dist(1.3)
cur(408), end(3670), percent[11.12%], dist(1.3)
cur(409), end(3670), percent[11.14%], dist(1.3)
cur(410), end(3670), percent[11.17%], dist(1.3)
cur(411), end(3670), percent[11.2%], dist(1.3)
cur(412), end(3670), percent[11.23%], dist(1.3)
cur(413), end(3670), percent[11.25%], dist(1.3)
cur(414), end(3670), percent[11.28%], dist(1.3)
cur(415), end(3670), percent[11.31%], dist(1.3)
cur(416), end(3670), percent[11.34%], dist(1.3)
cur(417), end(3670), percent[11.36%], dist(1.3)
cur(418), end(3670), percent[11.39%], dist(1.3)
cur(419), end(3670), percent[11.42%], dist(1.3)
cur(420), end(3670), percent[11.44%], dist(1.3)
cur(421), end(3670), percent[11.47%], dist(1.3)
cur(422), end(3670), percent[11.5%], dist(1.3)
cur(423), end(3670), percent[11.53%], dist(1.3)
cur(424), end(3670), percent[11.55%], dist(1.3)
cur(425), end(3670), percent[11.58%], dist(1.31)
cur(426), end(3670), percent[11.61%], dist(1.3)
cur(427), end(3670), percent[11.63%], dist(1.3)
cur(428), end(3670), percent[11.66%], dist(1.3)
cur(429), end(3670), percent[11.69%], dist(1.3)
cur(430), end(3670), percent[11.72%], dist(1.3)
cur(431), end(3670), percent[11.74%], dist(1.3)
cur(432), end(3670), percent[11.77%], dist(1.3)
cur(433), end(3670), percent[11.8%], dist(1.3)
cur(434), end(3670), percent[11.83%], dist(1.3)
cur(435), end(3670), percent[11.85%], dist(1.3)
cur(436), end(3670), percent[11.88%], dist(1.3)
cur(437), end(3670), percent[11.91%], dist(1.3)
cur(438), end(3670), percent[11.93%], dist(1.3)
cur(439), end(3670), percent[11.96%], dist(1.3)
cur(440), end(3670), percent[11.99%], dist(1.3)
cur(441), end(3670), percent[12.02%], dist(1.3)
cur(442), end(3670), percent[12.04%], dist(1.3)
cur(443), end(3670), percent[12.07%], dist(1.3)
cur(444), end(3670), percent[12.1%], dist(1.3)
cur(445), end(3670), percent[12.13%], dist(1.3)
cur(446), end(3670), percent[12.15%], dist(1.3)
cur(447), end(3670), percent[12.18%], dist(1.3)
cur(448), end(3670), percent[12.21%], dist(1.3)
cur(449), end(3670), percent[12.23%], dist(1.3)
cur(450), end(3670), percent[12.26%], dist(1.3)
cur(451), end(3670), percent[12.29%], dist(1.3)
cur(452), end(3670), percent[12.32%], dist(1.29)
cur(453), end(3670), percent[12.34%], dist(1.29)
cur(454), end(3670), percent[12.37%], dist(1.29)
cur(455), end(3670), percent[12.4%], dist(1.29)
cur(456), end(3670), percent[12.43%], dist(1.29)
cur(457), end(3670), percent[12.45%], dist(1.29)
cur(458), end(3670), percent[12.48%], dist(1.29)
cur(459), end(3670), percent[12.51%], dist(1.29)
cur(460), end(3670), percent[12.53%], dist(1.29)
cur(461), end(3670), percent[12.56%], dist(1.29)
cur(462), end(3670), percent[12.59%], dist(1.29)
cur(463), end(3670), percent[12.62%], dist(1.29)
cur(464), end(3670), percent[12.64%], dist(1.29)
cur(465), end(3670), percent[12.67%], dist(1.29)
cur(466), end(3670), percent[12.7%], dist(1.29)
cur(467), end(3670), percent[12.72%], dist(1.29)
cur(468), end(3670), percent[12.75%], dist(1.29)
cur(469), end(3670), percent[12.78%], dist(1.29)
cur(470), end(3670), percent[12.81%], dist(1.29)
cur(471), end(3670), percent[12.83%], dist(1.29)
cur(472), end(3670), percent[12.86%], dist(1.29)
cur(473), end(3670), percent[12.89%], dist(1.29)
cur(474), end(3670), percent[12.92%], dist(1.29)
cur(475), end(3670), percent[12.94%], dist(1.29)
cur(476), end(3670), percent[12.97%], dist(1.29)
cur(477), end(3670), percent[13.0%], dist(1.29)
cur(478), end(3670), percent[13.02%], dist(1.29)
cur(479), end(3670), percent[13.05%], dist(1.29)
cur(480), end(3670), percent[13.08%], dist(1.29)
cur(481), end(3670), percent[13.11%], dist(1.29)
cur(482), end(3670), percent[13.13%], dist(1.29)
cur(483), end(3670), percent[13.16%], dist(1.29)
cur(484), end(3670), percent[13.19%], dist(1.29)
cur(485), end(3670), percent[13.22%], dist(1.29)
cur(486), end(3670), percent[13.24%], dist(1.28)
cur(487), end(3670), percent[13.27%], dist(1.28)
cur(488), end(3670), percent[13.3%], dist(1.28)
cur(489), end(3670), percent[13.32%], dist(1.28)
cur(490), end(3670), percent[13.35%], dist(1.28)
cur(491), end(3670), percent[13.38%], dist(1.28)
cur(492), end(3670), percent[13.41%], dist(1.28)
cur(493), end(3670), percent[13.43%], dist(1.28)
cur(494), end(3670), percent[13.46%], dist(1.28)
cur(495), end(3670), percent[13.49%], dist(1.28)
cur(496), end(3670), percent[13.51%], dist(1.28)
cur(497), end(3670), percent[13.54%], dist(1.28)
cur(498), end(3670), percent[13.57%], dist(1.28)
cur(499), end(3670), percent[13.6%], dist(1.28)
cur(500), end(3670), percent[13.62%], dist(1.28)
cur(501), end(3670), percent[13.65%], dist(1.28)
cur(502), end(3670), percent[13.68%], dist(1.28)
cur(503), end(3670), percent[13.71%], dist(1.28)
cur(504), end(3670), percent[13.73%], dist(1.28)
cur(505), end(3670), percent[13.76%], dist(1.28)
cur(506), end(3670), percent[13.79%], dist(1.28)
cur(507), end(3670), percent[13.81%], dist(1.28)
cur(508), end(3670), percent[13.84%], dist(1.28)
cur(509), end(3670), percent[13.87%], dist(1.28)
cur(510), end(3670), percent[13.9%], dist(1.28)
cur(511), end(3670), percent[13.92%], dist(1.28)
cur(512), end(3670), percent[13.95%], dist(1.28)
cur(513), end(3670), percent[13.98%], dist(1.28)
cur(514), end(3670), percent[14.01%], dist(1.28)
cur(515), end(3670), percent[14.03%], dist(1.28)
cur(516), end(3670), percent[14.06%], dist(1.28)
cur(517), end(3670), percent[14.09%], dist(1.28)
cur(518), end(3670), percent[14.11%], dist(1.28)
cur(519), end(3670), percent[14.14%], dist(1.28)
cur(520), end(3670), percent[14.17%], dist(1.28)
cur(521), end(3670), percent[14.2%], dist(1.28)
cur(522), end(3670), percent[14.22%], dist(1.28)
cur(523), end(3670), percent[14.25%], dist(1.28)
cur(524), end(3670), percent[14.28%], dist(1.27)
cur(525), end(3670), percent[14.31%], dist(1.27)
cur(526), end(3670), percent[14.33%], dist(1.27)
cur(527), end(3670), percent[14.36%], dist(1.27)
cur(528), end(3670), percent[14.39%], dist(1.27)
cur(529), end(3670), percent[14.41%], dist(1.27)
cur(530), end(3670), percent[14.44%], dist(1.27)
cur(531), end(3670), percent[14.47%], dist(1.27)
cur(532), end(3670), percent[14.5%], dist(1.27)
cur(533), end(3670), percent[14.52%], dist(1.27)
